COMBUSTÍVEL;ANO;REGIÃO;ESTADO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;TOTAL
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO SUL;SANTA CATARINA;5074;4705,45;5543,261;5291,408;5045,001;4799,161;4973,965;5948,01;59537,886;3294,578;5068,767;4335,385;5458,9
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO SUL;RIO GRANDE DO SUL;2675;1774;1936;2233;1968;1811;2376;2280;2225;25679;2294;1599;2508
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;60;120;150;30;60;60;30;0;60;90;840;90;90
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO CENTRO-OESTE;MATO GROSSO;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO CENTRO-OESTE;GOIÁS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO CENTRO-OESTE;DISTRITO FEDERAL;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORTE;RONDÔNIA;228,5;663,5;0;10;5;0;10;0;25;10;83;126;166
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORTE;ACRE;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORTE;RORAIMA;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORTE;PARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORTE;AMAPÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORTE;TOCANTINS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;PIAUÍ;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;RIO GRANDE DO NORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;PARAÍBA;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;PERNAMBUCO;2956,5;473,5;382,5;345,5;341;369;278;245;137,5;121,5;92;78,5;92,5
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;SERGIPE;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO NORDESTE;BAHIA;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO SUDESTE;MINAS GERAIS;5,271;5,53;5,844;5,231;88,405;18,393;4,694;0;13,454;7,106;11,713;5,277;5,892
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO SUDESTE;ESPÍRITO SANTO;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO SUDESTE;RIO DE JANEIRO;870,243;765,319;879,103;1147,638;779,017;2117,938;13076,302;1983,222;1210,28;692,486;1197,409;655,301;778,346
ÓLEO DIESEL (OUTROS ) (m3);2015;REGIÃO SUDESTE;SÃO PAULO;733,785;750,445;872,343;724,101;847;814;1588;11362,66;1545,509;1059,22;804,813;1004,226;619,218
